trial_type.2	trial_type.2_derivative	trial_type.3	trial_type.3_derivative	trial_type.4	trial_type.4_derivative	trial_type.5	trial_type.5_derivative	trial_type.6	trial_type.6_derivative	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	cosine00	intercept
-0.0005330689931858	-0.0005410357399736	-0.0386271634003697	-0.0526629364248162	-1.866228258814535e-16	2.525406309113385e-17	6.17068142681063e-17	-1.276335025973031e-16	-1.3527766367313133e-08	3.84084172868e-08	-0.0111637590148793	0.0001462000028736	2.1374439960271635e-08	0.0001246295153437	0.0279191812418715	-0.0296582754089353	0.0008796133002306	0.000779480681215	-0.1332071384780788	0.0219220308863876	0.0004805754381844	0.0177441417415162	0.000845711454001	0.0001419312286329	2.0144472024860513e-08	7.152278630678229e-07	-0.0008138005946864	-0.0002295365804003	5.2687042360712594e-08	6.622714135848714e-07	-0.0007101561341159	4.0638116259799855e-05	1.651454743610553e-09	5.043217362832542e-07	0.1318872767000013	1
0.0012507240295509	0.0014286165257911	-0.0982758662600546	-0.0119857315146828	-1.7731545731165975e-16	6.203516965313774e-17	1.274203470168134e-16	-2.535419543328848e-17	4.578710537197645e-08	-8.989438833380127e-08	-0.011267698788233	-0.0001039397733536	1.0803476232330111e-08	0.0001269610359846	0.0488337671289133	0.0209145858870414	0.0004374199028247	0.0023847368120008	-0.1352672571271269	-0.0020601186490483	4.244088848600122e-06	0.0182972308506947	0.0008458926892717	1.8123527042283524e-07	3.1406012442282364e-14	7.155344432609826e-07	-0.0004142187426273	0.0003995818520583	1.5966566015691876e-07	1.7157716662759085e-07	-0.0005168243428557	0.0001933317912602	3.737718218445411e-08	2.671074007678282e-07	0.1289028963000016	1
-0.0024390301461772	-0.0010574473888265	-0.0992775222475733	0.0078816823232747	-2.439681407524224e-16	5.75392334853035e-17	7.389328903993169e-17	-1.998794525776131e-16	-1.4660763328828746e-07	2.031637409375278e-07	-0.0053571526733135	0.0059105461149194	3.4934555375547486e-05	2.869908476577931e-05	0.048928054937834	9.428780892002696e-05	8.890188593161863e-09	0.0023939545599986	-0.0988426485210077	0.0364246086061202	0.0013267521121099	0.0097698691666447	0.0005369473037209	-0.0003089453855539	9.544725126927525e-08	2.883124079946202e-07	-0.0004140679536417	1.507889864501457e-07	2.0634923564449772e-14	1.714522703227791e-07	-0.0002548887664089	0.0002619355764461	6.861024699116587e-08	6.496828041798167e-08	0.1257424501000013	1
0.0750201840911062	0.0961239243454105	-0.0753395734563254	0.0142121351953617	-1.8516242323507395e-16	1.3527225437185586e-16	-8.935738310438858e-18	-1.6757884690799358e-16	4.5039887009447444e-07	-4.370857853244015e-07	0.0075304104400553	0.0128875631133673	0.0001660892830007	5.670708139420537e-05	0.1456788947058294	0.0967508397679937	0.009360724995813	0.0212223403627179	-0.032183439433601	0.0666592090874073	0.0044434501561597	0.0010357737737751	-4.998967615858693e-05	-0.0005869369798756	3.444950176827173e-07	2.4989695098218114e-09	-0.0002490018227928	0.0001650661308465	2.724682728508717e-08	6.200190728173833e-08	8.299373301019688e-05	0.0003378824994205	1.141645843755285e-07	6.8879590537099195e-09	0.1224102548000012	1
0.4105297554746433	0.2061430771580308	-0.0476282504062366	0.0127944031952535	-1.891375747342088e-16	-1.378819648240903e-16	-2.3669608451150123e-16	1.0087491547808675e-16	-1.338891843247389e-06	8.734885051904009e-07	0.0130910743666439	0.0055606639265866	3.092098330433397e-05	0.0001713762280705	0.0655382002706849	-0.0801406944351479	0.0064225309045462	0.0042952556947182	-0.0207596703163928	0.0114237691172074	0.0001305025008418	0.0004309639116457	-9.200007267849904e-05	-4.201039651956215e-05	1.7648724577317842e-09	8.464011315390358e-09	-2.0999649716196988e-05	0.0002280021730794	5.1984992020924105e-08	4.40984781591165e-10	-7.000946173288891e-06	-8.999467918528473e-05	8.099041170831415e-09	4.9014656404725534e-11	0.1189108618000008	1
0.8083158872779892	0.1651133483929652	-0.0261324789346884	0.0087345658564289	-1.4038984658915551e-16	-4.968577843629806e-17	-2.722339720898899e-16	1.8617736424067004e-18	3.895267940272052e-06	-1.5211082171877715e-06	0.0130777925443656	-1.328182227689442e-05	1.764045087510685e-10	0.0001710286578323	-0.0245260563455643	-0.0900642566162468	0.0081115703198398	0.0006015274398636	-0.0322920858946099	-0.0115324155782175	0.0001329966090692	0.0010427788114245	0.0003609997443995	0.0004529998170752	2.0520883467157338e-07	1.3032081589318858e-07	-9.100125475857736e-05	-7.000160504195914e-05	4.900224714407958e-09	8.281227427323636e-09	-6.983577053031689e-06	1.736912272291904e-08	-1.6452242536705552e-16	4.876880190443804e-11	0.1152490509000011	1
1.0046321951880812	0.0098903087344995	-0.0127437274227894	0.0049659931574056	-1.0305854216578575e-16	2.527940507202595e-16	-7.206429323522801e-17	2.701684042608367e-17	-1.1128350802224032e-05	1.8425093587856707e-06	-0.0064162705889008	-0.0194940631332676	0.0003800184974469	4.116852827186648e-05	0.0072661547955012	0.0317922111410681	0.001010744689238	5.279700551152742e-05	0.0087856746136778	0.0410777605082884	0.0016873824083761	7.718807841757969e-05	0.0004589997218691	9.79999774723275e-05	9.603996501360845e-09	2.106807463753721e-07	-1.1001593420889574e-05	7.99996613364095e-05	6.399944741192404e-09	1.2103506799834592e-10	-6.997472836290818e-06	-1.3895787550216882e-08	-1.7629393220255833e-15	4.896218150038466e-11	0.1114298236000013	1
0.8110762662573793	-0.1801566990722769	-0.0056274993860881	0.0024632716082174	-3.3346475775734286e-17	2.297010122213822e-16	1.8032321180731702e-16	-1.0205010557867421e-16	3.126118267671453e-05	1.0607537570406238e-06	-0.0062955030372507	0.0001207675516501	1.4584801186002558e-08	3.9633358492556114e-05	0.0090834743024856	0.0018173195069834	3.302650190072503e-06	8.250950540418147e-05	0.0301311693488501	0.0213454947351723	0.000455630145488	0.0009078873663297	0.0002809969020696	-0.0001780028198002	3.168500315925984e-08	7.895925860239053e-08	-1.1075565534697571e-05	-7.39721152822643e-08	4.966050872717668e-15	1.2266713757911243e-10	-0.000537998081691	-0.0005310006088566	2.8196165176251857e-07	2.8944193806614085e-07	0.107458396600001	1
0.4076028002372878	-0.1912149908457649	-0.0022282974023023	0.0010643784376522	-8.468465763957437e-17	2.0647474991794886e-16	2.2160143131857383e-16	-5.792317835035298e-17	-8.626306962173084e-05	-1.8487164639698072e-05	-0.0100536523313661	-0.0037581492941148	1.4123686116860143e-05	0.0001010759252008	0.009128089369881	4.461506739509333e-05	1.9905040881292813e-09	8.33220155446455e-05	0.0360200739154898	0.0058889045666386	3.4679196993452134e-05	0.0012974457248782	0.000167997317819	-0.0001129995842497	1.2768905617055458e-08	2.8223098684104362e-08	-1.1034863763735777e-05	4.0701769377724614e-08	3.1306095242547427e-16	1.2176770716980995e-10	-0.0004149991768026	0.0001229989048902	1.5128729125330693e-08	1.7222431581759755e-07	0.1033401944000013	1
0.1045319127097457	-0.1118967742897835	-0.0007461120813633	0.0003797807136044	-1.1082879391271235e-16	2.7276417766810903e-16	2.0258952417940087e-16	4.3129494564382376e-17	0.0002356636833229	9.2452203141531e-05	-0.0063586034533373	0.0036950488780291	1.365338620943526e-05	4.043183787736999e-05	0.0443567846098333	0.0352286952399515	0.0012410609683093	0.0019675243409236	0.0058167166801031	-0.0302033572353884	0.0009122427882894	3.38341929363572e-05	-0.0005509712701192	-0.0007189685879395	5.169158334278392e-07	3.035693406870692e-07	0.0001481063936038	0.0001591412573678	2.5325938863738553e-08	2.1935503231741305e-08	-0.0003869586608007	2.804051600430484e-05	7.862682583656173e-10	1.497370043079275e-07	0.0990808418000011	1
-0.0487638110492315	-0.0472950317248001	-0.0001719412747492	9.175201100642593e-05	-1.3029225921999904e-16	-2.814452460885655e-17	1.1726224306084354e-16	-3.919296079665231e-17	-0.0006170091558323	-0.000344686903786	-0.0063246408582687	3.396259506803532e-05	1.1534577172513866e-09	4.000108198656197e-05	0.0260259203517151	-0.0183308642581191	0.0003360205844482	0.0006773485301526	0.0056580887690477	-0.000158627911056	2.516281314739805e-08	3.201396851834181e-05	-0.0007269454908915	-0.0001759742207691	3.0966925300827816e-08	5.284497463575101e-07	0.000203695493782	5.5589100179299886e-05	3.0901469143898974e-09	4.149185253925762e-08	-0.0005379256724274	-0.0001509670116275	2.279103670322904e-08	2.893640326714521e-07	0.0946861568000011	1
-0.1004006237201445	-0.0091341387909339	7.147129090642137e-07	-4.475080076596903e-07	-3.824985745986993e-16	6.018119429149615e-16	1.5191781198881027e-17	-1.4787479414068923e-16	0.0014777988302346	0.0009325283562789	-0.006421491045205	-9.685018693535548e-05	9.379957835821904e-09	4.123554724500359e-05	-0.0133780166922012	-0.0394039370439151	0.001552670254561	0.0001789713306151	0.0134461977625003	0.0077881089934523	6.0654641692420926e-05	0.0001808002342684	-0.0008959963700691	-0.0001690508791769	2.857819898391468e-08	8.028094931577526e-07	2.910704630248865e-05	-0.0001745884474795	3.048112628774795e-08	8.472209590239908e-10	-0.0002389870004009	0.0002989386720272	8.936433257927116e-08	5.7114782681178254e-08	0.0901621419000014	1
-0.0975196121794872	0.0090556527043146	-1.5327627872951016e-06	1.0934444701298696e-06	4.277655633212921e-16	-8.690527203113255e-16	3.296440908867865e-17	-1.9968706289962762e-16	-0.0021838683595154	0.0021295277232538	0.0183870256375363	0.0248085166827426	0.0006154625000001	0.0003380827117931	0.0069344299515845	0.0203124466437864	0.0004125954886555	4.808631875216496e-05	0.0058149342602527	-0.0076312635022479	5.823618263833352e-05	3.381346045118679e-05	-0.0005320409385757	0.0003639554314918	1.3246355558554706e-07	2.8306755987251857e-07	0.0004369493887401	0.0004078423424406	1.663353766439497e-07	1.9092476728773386e-07	0.0001891164934255	0.0004281034938285	1.8327260253695842e-07	3.5765048203924345e-08	0.0855149763000015	1
-0.0724171397355724	0.0143224418247919	8.615734877056657e-07	-1.065008546403324e-06	-1.7258817507908376e-15	2.1131110165212752e-15	-8.528038103962896e-17	-2.072056607317233e-16	0.097528619934843	0.1119188073256645	0.0672714228444299	0.0488843972068963	0.0023896842902873	0.0045254443315151	-0.0580457375276361	-0.0649801674792215	0.0042224221656282	0.0033693076451272	-0.0475061303986226	-0.0533210646588766	0.0028431359363594	0.0022568324254509	-0.000707942348539	-0.0001759014099646	3.0941306225190185e-08	5.011823684737609e-07	-0.000139793871726	-0.0005767432604671	3.326327884558059e-07	1.9542327469473026e-08	0.0008309507925827	0.0006418342991565	4.119512674302256e-07	6.904792200612248e-07	0.0807510076000017	1
-0.0450567785270551	0.0124314690870951	-1.192647309767664e-06	1.8766458396947732e-06	4.988426968041176e-15	-5.0588525666933066e-15	1.166714178566301e-16	-1.0503220530860494e-16	0.4539382392118872	0.2080269462641549	0.0675823878278567	0.0003109649834258	9.66992183547363e-08	0.0045673791445153	-0.0697654821319721	-0.0117197446043344	0.0001373524135898	0.0048672224971076	-0.0603678249236798	-0.0128616945250577	0.0001654231860558	0.0036442742860166	-0.0010570099317512	-0.0003490675832094	1.2184817853254198e-07	1.1172699952609516e-06	1.4894212054680578e-05	0.0001546880837833	2.3928403392608907e-08	2.2183774312986048e-10	0.0011470102566689	0.0003160594640865	9.989358660113153e-08	1.3156325296090248e-06	0.0758767427000022	1
-0.0243992881027513	0.0083047411971815	3.265108915358298e-06	-4.002240330155798e-06	-1.5049720656369614e-14	1.0043773616879318e-14	3.249159330872579e-16	-1.4256756212157722e-16	0.8415985198584621	0.1545612872878471	0.0676176838867097	3.529605885394397e-05	1.2458105643597287e-09	0.0045721511742033	-0.0509087863397623	0.0188566957922102	0.0003555749761994	0.0025917045265882	-0.0782785288652835	-0.0179107039416036	0.0003207933156833	0.0061275280813122	-0.0011141871656795	-5.717723392913556e-05	3.269235211907464e-09	1.2414130401623385e-06	0.0003308821304599	0.0003159879184036	9.984836645815084e-08	1.0948298393809087e-07	0.0011106882145458	-3.632204212609841e-05	1.319288878775938e-09	1.2336283112447966e-06	0.0708988393000022	1
-0.011769659781316	0.0046479810075219	-9.768790458687224e-06	8.394537210354087e-06	4.4093873038021065e-14	-1.774614253557118e-14	3.1422772433757717e-16	-5.2425261106612327e-17	1.0039227897163132	-0.012659182788139	0.0675238844099233	-9.379947678673916e-05	8.7983423914943e-09	0.0045594749658039	0.008724897893374	0.0596336842331351	0.003556176295218	7.612384324915371e-05	-0.0900365409636037	-0.0117580120983204	0.0001382508485026	0.0081065787086884	-0.001831697107448	-0.0007175099417701	5.148205185011726e-07	3.3551142916316656e-06	0.0005037883648861	0.0001729062344261	2.989656434016442e-08	2.538027172665302e-07	0.0007779617737098	-0.0003327264408355	1.1070688699815377e-07	6.052245199535766e-07	0.0658240966000017	1
-0.0051483076024326	0.0022767068211628	2.8795615395500832e-05	-1.6206705349827242e-05	-1.2544779699047121e-13	2.2072117710656225e-14	1.2428690611351955e-16	-6.234959364293914e-17	0.7724941670033932	-0.1908228414936047	0.0677252001309378	0.0002013157210147	4.0528020129113626e-08	0.0045867027327765	-0.0572147393148869	-0.0659396372082616	0.0043480357551574	0.0032735263948703	-0.0898750209184503	0.0001615200451531	2.6088723394834784e-08	0.0080775193850888	-0.0016773126818774	0.000154384425569	2.3834549237360052e-08	2.8133778338132634e-06	0.0007868370892185	0.0002830487243331	8.011657837520016e-08	6.191126058577556e-07	0.0007911606682987	1.3198894591226182e-05	1.7421154053267784e-10	6.259352033430619e-07	0.0606594461000015	1
