trial_type.digits	trial_type.hash__red	trial_type.letters	trial_type.mirrored_digits	trial_type.mirrored_letters	trial_type.scrambled_digits	trial_type.scrambled_letters	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	cosine00	cosine01	cosine02	cosine03	intercept
-1.153122426998427e-07	-4.486585466528803e-16	-5.3183764182078657e-17	-4.5184720335717156e-14	-8.366395219390564e-08	-7.887183659919212e-16	2.7954265056061465e-10	-0.0002410865717483	-0.0042252230248617	1.7852509609992204e-05	5.8122733898578424e-08	0.2559482446378637	0.2430036271520634	0.059050762809061	0.0655095039332039	-0.0065269398268613	-0.0074026512312819	5.479924525129321e-05	4.26009435025969e-05	-0.0009680026418791	-0.0008810047836361	7.761694291091723e-07	9.370291134846956e-07	-5.89593155124742e-05	-0.0001099629454024	1.2091849335193142e-08	3.476200474431934e-09	-8.402846597698843e-05	-3.069162881711524e-08	-1.8526953572500465e-17	7.060783698886165e-09	0.077073594700001	0.0761498725000002	0.0746185272000017	0.0724917781000007	1
1.5742883238629742e-07	-4.520162282562201e-16	-7.925280743571636e-16	1.4198583026743156e-13	2.3382746964173755e-07	-7.531423964946805e-16	-9.969800961440494e-10	-0.0002554837587924	-1.4397187043655197e-05	2.0727817565292263e-10	6.52719498192599e-08	0.0696440259901576	-0.1863042186477089	0.034709261885933	0.0048502903561162	0.0009805880587242	0.007507527885586	5.636297495255374e-05	9.615529409654217e-07	-0.0005189980667197	0.0004490045751591	2.016051085064484e-07	2.693589935491185e-07	3.30217838468139e-05	9.198109936031296e-05	8.460521819308121e-09	1.090437660760533e-09	-8.399139970861145e-05	3.706626826434199e-08	6.077498562130365e-16	7.054555182745762e-09	0.0770052340000017	0.0758776415000015	0.074010535300001	0.0714221125000011	1
-2.88177687778744e-08	-1.5411990842173695e-16	-5.42004086379237e-16	-4.367016649808637e-13	-6.394336255709003e-07	-8.657853481483863e-16	3.253061209941945e-09	0.0066100849203119	0.0068655686791043	4.713603328704117e-05	4.36932226546416e-05	0.0915119241777925	0.0218678981876359	0.0004782049711433	0.0083744322667214	0.004429376318805	0.0034487882600805	1.1894140462193688e-05	1.961937457418004e-05	-0.0005489893130566	-2.999124633682141e-05	8.994750808265041e-10	3.013892662448326e-07	0.0002540232351337	0.0002210014512874	4.884164118428176e-08	6.452780541322214e-08	-8.343007196847769e-05	5.613277400457228e-07	3.1424024731112535e-13	6.960575638815502e-09	0.0769300606000012	0.0755785590000009	0.0733436163000013	0.070251356900001	1
-9.396362684252428e-07	-6.126682781077565e-16	-1.88754296690661e-16	1.2807804600607677e-12	1.7145616906153188e-06	-7.87703469523385e-16	-1.0035675674159656e-08	0.0034565760647499	-0.0031535088555625	9.944618101548558e-06	1.194791809148508e-05	0.2663386016469795	0.174826677469183	0.0305643671549141	0.07093625072727	-0.0192976699795297	-0.0237270462983362	0.0005629727260452	0.0003724000666379	-0.0015659839718104	-0.001016994658752	1.0342781370981216e-06	2.4523057979752915e-06	0.0002900654201224	3.604218498729203e-05	1.2990377166221843e-09	8.413795094243207e-08	-8.32727841276115e-05	1.572878395546594e-07	2.33342982894868e-14	6.9343566437116545e-09	0.0768480810000012	0.0752527309000003	0.0726183014000015	0.0689811683000006	1
5.367288347882071e-06	-3.7938639626695316e-16	-1.001952570088336e-15	-3.660203292757912e-12	-4.5177281489051724e-06	-7.192469414229256e-16	2.9749792821053684e-08	-0.0002362729169214	-0.0036928489816718	1.3637133601413002e-05	5.582488983302503e-08	-0.0271509975950315	-0.293489599242011	0.0861361448632379	0.0007371766704058	0.000494352416993	0.0197920223965245	0.0003917241505467	2.4438431171053644e-07	-0.0003020038564752	0.001263980115334	1.5976457333946074e-06	9.120633017603273e-08	-9.198728475933784e-05	-0.0003820527048825	1.4596427302239913e-07	8.461660098100248e-09	-8.401384726044148e-05	-7.410631321094716e-07	5.481794010086422e-13	7.058326142114575e-09	0.0767593025000017	0.0749002725000018	0.0718351680000006	0.0676133446000013	1
-1.980442149945632e-05	4.534491095943831e-17	-3.8912183690434677e-16	1.0196059491750597e-11	1.1707383526824504e-05	-3.75931331456182e-16	-8.551343451899477e-08	-0.0001324342598961	0.0001038386570255	1.0782466103307912e-08	1.7538832260215998e-08	0.1263366087604802	0.1534876063555116	0.0235584453047443	0.0159609387130973	-0.0142733759737934	-0.0147677283907869	0.0002180858018248	0.000203729261688	-0.0005609861051818	-0.0002589822487065	6.707180488297095e-08	3.147054102949913e-07	0.0003295234012036	0.0004215106859643	1.7767126170171086e-07	1.0858567499265813e-07	-8.34075654343739e-05	6.062818256481936e-07	3.6724312179416273e-13	6.9568218598430714e-09	0.0766637331000011	0.0745213085000005	0.0709948397000015	0.0661498218000006	1
4.190767853017953e-05	-3.2353345384761842e-15	-2.8743885095981486e-16	-2.7810888510394414e-11	-2.861089497272176e-05	-2.1288922629135656e-15	2.39634895193671e-07	-0.0001175615153674	1.487274452909288e-05	2.2119773852073483e-10	1.3820709209598321e-08	0.2370711741382228	0.110734565377739	0.0122621439693961	0.056202741607276	0.0014491772449725	0.0157225532187659	0.0002471986797174	2.10011468703905e-06	-0.0011249972105939	-0.0005640111054122	3.181085273046286e-07	1.2656187224500391e-06	5.40472373490968e-05	-0.0002754761638558	7.588711855031111e-08	2.9211038760903843e-09	-8.346959496140327e-05	-6.202952724752461e-08	3.145071939073321e-15	6.967173381963737e-09	0.0765613811000014	0.0741159731000006	0.0700979855000016	0.0645926713000006	1
0.0008423294361261	1.1649136243267873e-14	-9.523073610939542e-16	7.436983037073344e-11	6.318846106598253e-05	2.5002292700735303e-15	-6.568610300043691e-07	-0.0002026175788927	-8.505606352513815e-05	7.2345332458643e-09	4.105388213288595e-08	0.0031542029000473	-0.233916971238176	0.0547171494332419	9.948995934954553e-06	0.0013596593425271	-8.951790244594502e-05	8.01345431976396e-09	1.84867352784555e-06	-0.0004299969506663	0.0006950002599275	4.830253605833766e-07	1.8489737796918477e-07	7.201799216146602e-05	1.797075481310367e-05	3.2294709308781525e-10	5.18659140005182e-09	-8.39844620390797e-05	-5.148670773422773e-07	2.639463292371337e-13	7.0533899882045564e-09	0.0764522555000017	0.0736844096000016	0.0691453195000007	0.0629440972000011	1
0.015778366108415	-4.350418107966944e-14	-2.338576435699094e-16	-1.9518761795080088e-10	-8.315054344943124e-05	-9.167674569056927e-15	1.7650816795845791e-06	-0.0002164944042136	-1.387682532093238e-05	1.9256583806404268e-10	4.6869826197260937e-08	0.1645376498865249	0.161383446986477	0.0260446169612372	0.0270726382301793	-0.0043606625748668	-0.0057203219173943	3.272208283808361e-05	1.9015378091198263e-05	-0.0006169978477701	-0.0001870008971035	3.4969335384761306e-08	3.8068634466515785e-07	4.902588482376583e-05	-2.2992107337624977e-05	5.286360689448823e-10	2.4035374934289423e-09	-8.39848330761537e-05	-3.710372658417058e-10	-4.020737872468445e-16	7.053452347481985e-09	0.0763363662000011	0.0732267707000005	0.0681376002000014	0.0612064326000006	1
0.0522067197940526	1.4105532909084786e-13	-1.8008748953835026e-16	5.028206695817646e-10	0.0054132407407989	2.0622980131359103e-14	-4.660328256837721e-06	-0.0001319250927597	8.456931145434129e-05	7.151967581722412e-09	1.7404229595227868e-08	0.1942844329967674	0.0297467831102396	0.0008848711054065	0.0377464409048749	0.0158430911515335	0.0202037537263997	0.0004081916646376	0.0002510035372387	-0.0011589971084869	-0.000541999260717	2.937631993678627e-07	1.3432742955365775e-06	5.604868713800184e-05	7.0228023147571725e-06	4.9318399094520957e-11	3.1414548451807263e-09	-8.346749304571928e-05	5.173400306258972e-07	2.668532889559584e-13	6.966822078801757e-09	0.0762137232000015	0.0727432186000011	0.0670756300000011	0.0593821373000009	1
