bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-05_ses-02_task-regulate_run-03_bold	0.006264800000000001	0.028262681600000002	0	22.831805360241937	1.0412816468548391	0.9798549237096772	0.5894118763118489	2486.42529296875	0.24562746195219962	53	42.4	1.6573566666666668	1.5721833333333333	1.74786	1.6520266666666668	0.0634869	-0.0043487041257321835	0.031515125185251236	125	64	64	38	8.236179847820026	2.0	3.0	3.0	3.0	27.26185670054726	6.084599640483278	22.06700897216797	7.5360002517700195	80654.0	2.880000114440918	84.49920578002902	40.069984436035156	3.54719214307193	37.46832797159819	381.99774169921875	380.4320068359375	39732.0	313.3048156738281	456.1176101684569	46.18976593017578	44.69261890486814
sub-05_ses-02_task-regulate_run-04_bold	0.00425352	0.020838096160000003	0	20.224519836935478	1.0689542037096773	0.9814562440322581	0.5899638079752961	2526.41845703125	0.16788248848543613	24	19.2	1.6429800000000003	1.5553333333333335	1.7345233333333334	1.6390833333333334	0.0312298	-0.0039853681810200214	0.03301765397191048	125	64	64	38	8.228374384456492	2.0	3.0	3.0	3.0	26.56637681162513	5.847383158269612	21.887086868286133	7.424000263214111	80661.0	2.936000108718872	85.00000762939453	39.9231071472168	3.850601587368491	37.81228372309598	384.0557861328125	382.3960266113281	39978.0	315.67882385253904	458.13721618652346	46.47227096557617	54.725308079971
sub-05_ses-02_task-regulate_run-05_bold	0.0017880799999999998	0.017280532480000003	0	20.281301952258058	1.0484087151612902	0.957496246935484	0.5902263417272425	2440.236083984375	0.17104498891086048	39	31.2	1.6360044444444444	1.5294666666666668	1.7307233333333334	1.6478233333333332	0.0320923	-0.0038670471403747797	0.03259015083312988	125	64	64	38	8.216629011759556	2.0	3.0	3.0	3.0	25.512760123717744	5.776218461041452	21.921932220458984	7.464000225067139	80756.0	3.0480000972747803	84.97200202941895	39.80602264404297	3.7433991358559693	37.32598585186496	382.2485656738281	380.4880065917969	39854.0	314.1784240722656	455.8160095214844	46.306488037109375	60.37812720704824
sub-05_ses-02_task-regulate_run-06_bold	0.0014334399999999998	0.020327222240000005	0	20.073136998629025	1.0401308004838712	0.9483247112096772	0.5902623676521941	2422.111572265625	0.1559345153457836	29	23.2	1.6368588888888889	1.5390333333333333	1.72252	1.6490233333333333	0.0418453	-0.00426533492282033	0.0330953486263752	125	64	64	38	8.216559846083015	2.0	3.0	3.0	3.0	25.683977655518923	5.823662181660083	22.0126895904541	7.512000560760498	80780.0	3.0480000972747803	85.88880081176762	39.932125091552734	4.007266181475217	37.44457412135663	382.7976379394531	381.1120300292969	39855.0	314.7176025390625	456.53041381835936	46.3828239440918	56.41211941000074
sub-05_ses-02_task-regulate_run-07_bold	0.00368096	0.02036213776	0	19.623571379838708	1.0503264020161287	0.9681256278225807	0.5901447140208507	2489.2861328125	0.1710776216367717	27	21.6	1.6389788888888888	1.5612666666666666	1.7363099999999998	1.6193600000000001	0.0229213	-0.0037453845143318176	0.032342858612537384	125	64	64	38	8.21024972547489	2.0	3.0	3.0	3.0	26.020467241591877	5.87110484183897	21.775474548339844	7.4720001220703125	80656.0	2.944000244140625	83.86200332641602	39.32491683959961	3.75772504350501	37.76482126804189	383.35833740234375	381.72003173828125	39974.0	314.57520904541013	457.5736206054687	46.49252700805664	56.957570732338354
sub-05_ses-02_task-regulate_run-08_bold	0.0011948	0.01989202048	0	20.507480782580643	1.034259342096774	0.9395097699193545	0.5910805081260239	2245.93994140625	0.15372867981727123	28	22.4	1.6614444444444443	1.5683566666666666	1.7594433333333335	1.6565333333333332	0.146568	-0.003765679197385907	0.03269566595554352	125	64	64	38	8.148178265642223	2.0	3.0	3.0	3.0	25.462753129011336	6.262512090513505	22.2734375	7.784000396728516	80820.0	3.0160000324249268	86.6964065551758	39.89745330810547	3.8726554849228076	37.45647366919193	380.4937744140625	378.9120178222656	39825.0	312.6736267089844	454.8160095214844	46.50208282470703	52.84613194386475
sub-05_ses-02_task-ring_run-01_bold	0.0022233992094861663	0.04873626482213439	1	38.48567681861112	1.242908686944445	0.9912113573809523	0.5190767189628729	1402.243408203125	0.1258270214704276	35	13.83399209486166	1.5716135040918922	1.625178689457376	1.4007418228183006	1.68892	0.0192791	-0.018701964989304543	0.029739534482359886	253	78	78	20	8.216293404923286	1.2000000476837158	2.461538553237915	2.461538553237915	2.5	16.707997271883958	4.734951115186865	19.377487182617188	7.97233247756958	76628.0	3.869565486907959	84.26047668457018	29.614286422729492	7.920937923174016	29.511398953967486	306.4122009277344	307.6146240234375	17662.0	254.79507217407226	359.94014129638674	37.43852615356445	37.37958566460293
sub-05_ses-02_task-wedge_run-01_bold	0.0018280708661417323	0.04373078897637794	0	37.83703709806326	1.238611850118577	0.9836150613833994	0.5180086351494229	1381.2774658203125	0.11850673646587209	28	11.023622047244094	1.5640711713421256	1.5691649415440507	1.4097605724823261	1.713288	0.0148478	-0.01854981854557991	0.0309466365724802	254	78	78	20	8.167948807065372	1.2000000476837158	2.461538553237915	2.461538553237915	2.5	17.586949705326205	4.757168034761009	19.129518508911133	7.988188743591309	76770.0	3.8740158081054688	82.6836578369141	29.08709144592285	8.841360798058998	28.367888603338784	304.3800048828125	305.47637939453125	17561.0	253.6811065673828	356.2480163574219	37.39833450317383	38.61024316691328
sub-05_ses-02_task-wedge_run-02_bold	0.001990236220472441	0.07423849291338583	0	44.59334599644268	1.1745535529644269	0.9526155245059295	0.5175656574147159	1283.11328125	0.33100538149416664	113	44.488188976377955	1.580487230952391	1.7139036861521124	1.4977340067050602	1.529824	0.0182066	-0.015843722969293594	0.031484492123126984	254	78	78	20	8.165879737492737	1.2000000476837158	2.461538553237915	2.461538553237915	2.5	16.028410937108802	5.054856800274904	18.880823135375977	8.185039520263672	76805.0	3.8543307781219482	75.87952728271488	26.90664291381836	7.623659577220584	27.77254924814174	295.60137939453125	296.6732177734375	17505.0	244.30550842285157	346.5511779785156	36.329795837402344	27.773602219996974
sub-06_ses-01_task-learning_run-02_bold	0.006016640000000001	0.00883446096	0	19.61881902120967	1.1641894040322582	1.0375059796774189	0.609056098880842	1423.230712890625	0.11089880291025708	18	14.4	1.6380022222222221	1.5761399999999999	1.7089266666666667	1.62894	0.0364468	0.022946467623114586	0.029207179322838783	125	64	64	38	8.39924701887111	2.0	3.0	3.0	3.0	15.423012328232318	10.496825007825747	30.973560333251953	11.592000961303711	78907.0	3.5840001106262207	123.15760498046873	49.271297454833984	2.812856726794239	47.437343840976126	447.9050598144531	446.7440185546875	41250.0	366.11121368408203	530.4568267822265	53.18793487548828	75.57262835279107
