trial_type.catch_null0	trial_type.catch_physical_size1	trial_type.catch_physical_size4	trial_type.catch_quantity1	trial_type.catch_quantity4	trial_type.catch_symbolic1	trial_type.catch_symbolic4	trial_type.deviant_nonsymbolic1	trial_type.deviant_nonsymbolic4	trial_type.deviant_physical_size1	trial_type.deviant_physical_size4	trial_type.deviant_symbolic1	trial_type.deviant_symbolic4	trial_type.null_null0	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	cosine00	cosine01	cosine02	cosine03	cosine04	cosine05	cosine06	cosine07	cosine08	cosine09	cosine10	intercept
6.256266667859807e-275	1.010877324689636e-146	-2.2021095834227585e-84	5.4331727695278904e-118	7.141679090993797e-228	1.8393363116459504e-184	8.056923598414394e-58	2.3028864214430644e-43	-2.2009222626894898e-33	-1.7691521368793897e-15	1.654821390210018e-20	-3.7958749163725287e-113	1.501848237080309e-25	-8.52841091126975e-10	0.002601246895864	0.0026044303083664	6.7830572311379926e-06	6.766485413242095e-06	-0.0290996394200107	0.0470713946724714	0.0022157161964115	0.0008467890143746	0.0922489522111789	-0.0090884547813629	8.260001031287993e-05	0.0085098691840603	0.0005749824335125	7.200975077480002e-05	5.185404206648812e-09	3.3060479884795653e-07	-0.0001030951544223	7.19835515721e-05	5.1816316969331805e-09	1.0628610865357882e-08	-0.0003299704108647	-1.801434462260005e-05	3.2451661218179927e-10	1.0888047204621897e-07	0.0510001919	0.0509076961	0.0507536607	0.0505382719	0.05026179	0.0499245493	0.0495269574	0.049069495	0.0485527151	0.0479772424	0.0473437725	1
-1.6211714873016574e-274	-2.792668746004792e-146	6.229783788596904e-84	-1.5885627414170585e-117	-1.797412892956699e-227	-4.1579934759503104e-184	-2.0239866289838058e-57	-4.644329476842375e-43	4.268495790660685e-33	4.929761356956952e-15	-5.589743241076655e-20	1.0012441437386771e-112	-4.385821529652316e-25	1.7115877144947506e-09	0.0025516007418104	-4.964615405360015e-05	2.4647406123137982e-09	6.510666345607382e-06	-0.035451851242783	-0.0063522118227723	4.035059504136821e-05	0.0012568337565404	0.096977994092974	0.004729041881795	2.2363837119772128e-05	0.0094047313382969	0.0006759829822415	0.000101000548729	1.0201110843559108e-08	4.569529922801122e-07	-0.0001270894317622	-2.3994277339900016e-05	5.757253450640394e-10	1.6151723665638892e-08	-0.0002639572004353	6.60132104294e-05	4.357743951196245e-09	6.967340366164115e-08	0.0509925085	0.0508769833	0.050684635	0.0504157543	0.0500707469	0.049650134	0.0491545506	0.0485847451	0.0479415777	0.0472260198	0.0464391518	1
4.117147756630682e-274	7.5469564135461655e-146	-1.7195428408525123e-83	4.508605086650055e-117	4.425102284293491e-227	8.96310287363228e-184	4.9727098788873815e-57	8.321756739710236e-43	-7.07429653742083e-33	-1.3426343566276991e-14	1.7612542159637332e-19	-2.5890454138057406e-112	1.243532642267311e-24	-3.038599346264767e-09	0.0031621947266415	0.0006105939848311	3.72825014311922e-07	9.999475489199313e-06	-0.1066472840681029	-0.0711954328253199	0.0050687896551846	0.0113736431991026	0.1305254427272899	0.0335474486343158	0.001125431309872	0.017036891199155	0.0006379881334305	-3.799484881100007e-05	1.4436085361707535e-09	4.070288583981335e-07	-0.0001015734230258	2.551600873640001e-05	6.510667018360412e-10	1.031716026517812e-08	-0.000230968052994	3.298914744130003e-05	1.0882838489038323e-09	5.334624150383919e-08	0.0509839718	0.0508428651	0.0506079764	0.0502797391	0.0498587586	0.0493458114	0.0487418436	0.0480479694	0.0472654685	0.0463957844	0.0454405211	1
-1.0236078067241587e-273	-1.9981062540613475e-145	4.643205196803197e-83	-1.247962313603718e-116	-1.062772628059672e-226	-1.8007766086987329e-183	-1.1914726069562417e-56	-1.138730411198815e-42	7.50111254094174e-33	3.580908015422725e-14	-5.293996048756881e-19	6.56083971001916e-112	-3.4390811051017486e-24	4.0507422364476944e-09	0.001570294669591	-0.0015919000570505	2.5341457916373857e-06	2.465825349345908e-06	-0.024569008431527	0.0820782756365759	0.0067368433314737	0.0006036361753084	0.1099937722491404	-0.0205316704781494	0.0004215494926233	0.0120986299335957	0.0004440165883353	-0.0001939715450951	3.762496030661919e-08	1.971507307169193e-07	0.0001099330769103	0.000211506499936	4.473499951521946e-08	1.2085281398965934e-08	-0.0003020246694777	-7.105661648370003e-05	5.049042746111631e-09	9.121890097311397e-08	0.050974582	0.0508053439	0.0505236965	0.0501302629	0.0496259137	0.0490117647	0.0482891748	0.0474597427	0.0465253036	0.045487925	0.0443499022	1
2.4859971394111758e-273	5.185911931818207e-145	-1.2283821787365246e-82	3.3784379968927285e-116	2.4787899954388474e-226	3.20344905507344e-183	2.77098462730336e-56	2.204442384818476e-43	9.380905892184528e-33	-9.361240573408916e-14	1.5361227059133442e-18	-1.6273162905119801e-111	9.30287243757892e-24	-2.511647670187188e-10	0.0015247039149954	-4.559075459559985e-05	2.0785169045962086e-09	2.3247220284023e-06	-0.0201785013009043	0.0043905071306227	1.9276552864048792e-05	0.0004071719147505	0.1172326404309487	0.0072388681818083	5.2401212553596606e-05	0.0137434919824121	0.0003279838528959	-0.0001160327354393	1.346359569354979e-08	1.075734077604394e-07	-0.0001090486023611	-0.0002189816792714	4.795297585652229e-08	1.1891597676909304e-08	-0.0002959820427491	6.042626728600001e-06	3.6513337781191147e-11	8.76053696299301e-08	0.0509643392	0.0507644222	0.0504318078	0.0499673656	0.0493723096	0.0486481952	0.0477969152	0.046820695	0.0457220862	0.0445039607	0.0431695027	1
-5.876459593317407e-273	-1.319182301364078e-144	3.1857474509293765e-82	-8.959527912556475e-116	-5.572815844057805e-226	-4.295205589400363e-183	-6.206445833779929e-56	6.607723201691855e-42	-9.947687307289363e-32	2.3989345577396617e-13	-4.3324524795601625e-18	3.941669921609513e-111	-2.4652671835976706e-23	-2.6258868957435306e-08	0.0009627704759225	-0.0005619334390729	3.157691899482967e-07	9.269269893080372e-07	-0.0942220376869471	-0.0740435363860428	0.0054824452805512	0.0088777923858804	0.1468125030015343	0.0295798625705856	0.0008749682696947	0.0215539110375755	0.0005389994551675	0.0002110156022716	4.452758440204608e-08	2.9052041267086184e-07	-7.59999737947048e-05	3.3048628566395195e-05	1.0922118501195523e-09	5.7759960167958174e-09	2.0482254003864435e-08	0.0002960025250031	8.761749480821315e-08	4.195227290788207e-16	0.0509532436	0.0507201027	0.0503323243	0.0497910908	0.0490980523	0.0482553218	0.0472654685	0.0461315104	0.0448569048	0.0434455378	0.0419017123	1
1.3439367537488073e-272	3.2855209986777207e-144	-8.09750269710076e-82	2.3291868012960426e-115	1.192012629237428e-225	3.9182100644858207e-184	1.3204998423277663e-55	-3.562741514044304e-41	4.499657397005888e-31	-6.021898227295145e-13	1.1926567599694413e-17	-9.287875204201104e-111	6.404201489501037e-23	1.3732675024612426e-07	0.0008266173257709	-0.0001361531501516	1.8537680296204134e-08	6.832962032646342e-07	-0.069408226098929	0.0248138115880181	0.0006157252455256	0.0048175018502	0.1288962963791604	-0.0179162066223739	0.0003209904597355	0.0166142552202643	0.0007989996222296	0.000260000167062	6.760008687231989e-08	6.384003963230435e-07	2.000000335788954e-06	7.799997413049375e-05	6.083995964357695e-09	4.000001343155929e-12	-7.99026158388935e-10	-2.1281280162253373e-08	4.528928853443189e-16	6.384428017897797e-19	0.0509412954	0.0506723884	0.050225261	0.0496014858	0.0488032567	0.0478333811	0.0466952704	0.0453929271	0.043930932	0.0423144269	0.0405490974	1
-2.943592232590035e-272	-7.995099353918559e-144	2.015041516393405e-81	-5.934924088507263e-115	-2.3654857383485482e-225	2.7196200316226943e-182	-2.5980561387135128e-55	1.390602205930593e-40	-1.6472948837239037e-30	1.478274878318428e-12	-3.212621194594728e-17	2.1156092880757495e-110	-1.630605129168671e-22	-5.304811114702709e-07	0.0028229630391507	0.0019963457133797	3.985396207329902e-06	7.969120320410957e-06	-0.0422513579402163	0.0271568681587126	0.0007374954881897	0.0017851772477922	0.1347310338150009	0.0058347374358405	3.404416094519868e-05	0.0181524514728589	0.0007109929301035	-8.800669212609999e-05	7.745177858978151e-09	5.055109466571604e-07	-7.906398458468189e-05	-8.106398492047084e-05	6.571369651186324e-09	6.251113658406816e-09	-0.00018097183875	-0.0001809710397238	3.2750517218728254e-08	3.2750806420556e-08	0.0509284948	0.0506212825	0.0501106339	0.0493986012	0.048488046	0.0473826275	0.0460867883	0.044605736	0.0429454226	0.0411125207	0.0391143962	1
6.060614335776692e-272	1.8942678268657962e-143	-4.8988062463222835e-81	1.480798253296161e-114	4.108269952516518e-225	-1.4313297804180352e-181	4.435376607440951e-55	-4.75864201890214e-40	5.4470573662222906e-30	-3.538480008590459e-12	8.479311572319569e-17	-4.6084131539420745e-110	4.065175575759906e-22	1.8052516541000965e-06	0.0052115713206717	0.002388608281521	5.705449522550705e-06	2.7160475630447768e-05	-0.090156076663888	-0.0479047187236717	0.0022948620759941	0.0081281181594248	0.1816300486727655	0.0468990148577646	0.0021995175946288	0.0329894745808711	0.0008769659160761	0.0001659729859726	2.7547032072660884e-08	7.690692179591932e-07	-0.000301599114141	-0.0002225351295563	4.9521883886647286e-08	9.096202565063593e-08	-0.0002263677742625	-4.539593551250001e-05	2.0607909610550594e-09	5.1242369224558174e-08	0.050914842	0.0505667884	0.0499884603	0.0491824914	0.048152552	0.0469033323	0.0454405211	0.0437707798	0.0419017123	0.0398418299	0.0376005131	1
-1.1277162882856416e-271	-4.3446569582480575e-143	1.1593581117742952e-80	-3.610669786771558e-114	-5.1262696205917986e-225	5.542624668443619e-181	-5.233543329907301e-55	1.5117863572431875e-39	-1.6927196105515156e-29	8.219231406017455e-12	-2.1939522086338923e-16	9.409502193934793e-110	-9.903283459587626e-22	-5.735452604662038e-06	0.0060990864598693	0.0008875151391975	7.87683122304935e-07	3.719885564496103e-05	-0.09400956584291	-0.0038534891790219	1.4849378852839596e-05	0.0088377984699724	0.1793800648305534	-0.002249983842212	5.062427290215474e-06	0.0321772076586135	0.0011120161549426	0.0002350502388664	5.524861479119868e-08	1.2365799288533245e-06	0.0001554164826578	0.0004570155967988	2.0886325571736333e-07	2.4154283081722248e-08	-0.0001500866266429	7.628114761960001e-05	5.818813482163208e-09	2.2525995497045257e-08	0.0509003373	0.0505089097	0.0498587586	0.0489532143	0.0477969152	0.0463957844	0.0447569988	0.0428889529	0.0408012154	0.0385044805	0.0360105127	1
